job_name,salary_raw,salary_min,salary_max,salary_months,company_name,company_size,company_type,industry,city,district,experience,education,job_type,job_url,tags,salary_avg,salary_annual_est,experience_std,education_std,experience_years,salary_level,has_salary
项目经理,1.8-2万,18000.0,20000.0,12,北京佰宏建筑工程有限公司,20-99人,民营,工程施工,北京,大兴·高米店,5-10年,本科,,http://www.zhaopin.com/jobdetail/CC506247123J90250042000.htm?refcode=4019&srccode=401903&preactionid=2b5ab222-f149-48c9-b617-b3b95ac7c5a4,"['工程施工管理', '工业建筑', '一级建造师（建筑工程）']",19000.0,228000.0,5-10年,本科,7.5,15K-20K,True
总经办综合助理,5000-8000元,5000.0,8000.0,12,北京博思朴智资产评估有限公司,20-99人,民营,专业技术服务,北京,大兴·荣华街道,3-5年,本科,,http://www.zhaopin.com/jobdetail/CC868711320J40525643107.htm?refcode=4019&srccode=401903&preactionid=2b5ab222-f149-48c9-b617-b3b95ac7c5a4,"['内勤管理', '接待事务']",6500.0,78000.0,3-5年,本科,4.0,5K-10K,True
中欧班列项目经理,1.3-2万,13000.0,20000.0,12,华人供应链,1000-9999人,民营,货运/物流/仓储,北京,大兴·荣华街道,3-5年,本科,,http://www.zhaopin.com/jobdetail/CC416342520J40749565806.htm?refcode=4019&srccode=401903&preactionid=2b5ab222-f149-48c9-b617-b3b95ac7c5a4,"['国际物流项目', '供应链项目', '铁路运输', '冷链物流']",16500.0,198000.0,3-5年,本科,4.0,15K-20K,True
线束设计,1.5-2万,15000.0,20000.0,12,深圳市法本信息技术股份有限公司,1000-9999人,上市公司,计算机软件,北京,顺义·高丽营,5-10年,大专,,http://www.zhaopin.com/jobdetail/CC385622410J40750536006.htm?refcode=4019&srccode=401903&preactionid=2b5ab222-f149-48c9-b617-b3b95ac7c5a4,"['汽车线束', '低压线束']",17500.0,210000.0,5-10年,大专,7.5,15K-20K,True
人事行政高级专员/人事行政主管,7000-9000元,7000.0,9000.0,12,北京懋源宏展房地产开发有限公司,500-999人,民营,房地产开发,北京,丰台·新村,3-5年,本科,,http://www.zhaopin.com/jobdetail/CCL1441446420J40752704006.htm?refcode=4019&srccode=401903&preactionid=2b5ab222-f149-48c9-b617-b3b95ac7c5a4,"['薪酬福利', '行政管理', '员工关系']",8000.0,96000.0,3-5年,本科,4.0,5K-10K,True
采购实习生,120-170元/天,120.0,170.0,12,中科星图股份有限公司,1000-9999人,上市公司,计算机软件,北京,顺义·李桥,无经验,本科,,http://www.zhaopin.com/jobdetail/CC142710110J40753541306.htm?refcode=4019&srccode=401903&preactionid=2b5ab222-f149-48c9-b617-b3b95ac7c5a4,['招标采购'],145.0,1740.0,0年,本科,0.0,5K以下,True
国研数字-保密办主任/副主任（项目管理方向）,1.2-1.8万,12000.0,18000.0,12,国研科技集团有限公司,500-999人,国企,IT服务,北京,东城·东华门,5-10年,硕士,,http://www.zhaopin.com/jobdetail/CC000275200J40875931703.htm?refcode=4019&srccode=401903&preactionid=2b5ab222-f149-48c9-b617-b3b95ac7c5a4,"['保密管理', '项目管理']",15000.0,180000.0,5-10年,硕士,7.5,15K-20K,True
项目经理,8000-12000元,8000.0,12000.0,12,捷威特智能科技有限公司河南分公司,100-299人,民营,云计算/大数据,北京,海淀·北下关,5-10年,本科,,http://www.zhaopin.com/jobdetail/CCL1289795060J40834338703.htm?refcode=4019&srccode=401903&preactionid=2b5ab222-f149-48c9-b617-b3b95ac7c5a4,['一级建造师'],10000.0,120000.0,5-10年,本科,7.5,10K-15K,True
信托业务岗（保险资管承揽）,1.1-2.2万,11000.0,22000.0,12,中信银行股份有限公司,500-999人,其它,互联网,北京,朝阳·麦子店,5-10年,硕士,,http://www.zhaopin.com/jobdetail/CCL1318355140J40820062903.htm?refcode=4019&srccode=401903&preactionid=2b5ab222-f149-48c9-b617-b3b95ac7c5a4,[],16500.0,198000.0,5-10年,硕士,7.5,15K-20K,True
理赔-人伤质检-外包滴滴,1.7-1.8万,17000.0,18000.0,12,天津穆林科技有限公司北京分公司,500-999人,合资,互联网,北京,昌平·回龙观,1-3年,大专,,http://www.zhaopin.com/jobdetail/CCL1307987640J40859087403.htm?refcode=4019&srccode=401903&preactionid=2b5ab222-f149-48c9-b617-b3b95ac7c5a4,"['人伤质检', '人伤']",17500.0,210000.0,1-3年,大专,2.0,15K-20K,True
