job_name,salary_raw,salary_min,salary_max,salary_months,company_name,company_size,company_type,industry,city,district,experience,education,job_type,job_url,tags,search_keyword,salary_avg,has_salary
拍客视频导演,1-2万,10000.0,20000.0,12,环球国际视频通讯社有限公司,100-299人,国企,广播/影视,北京,朝阳·建外,经验不限,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC394952910J40626111708.htm?refcode=4019&srccode=401903&preactionid=a43b0a5a-5a09-4337-b137-4809f93fdfb4,['编导'],AIGC视频导演,15000.0,True
短剧导演（AI真人剧方向）,1-1.5万,10000.0,15000.0,12,重庆麦芽传媒有限公司,1000-9999人,其它,广播/影视,重庆,渝北,1-3年,大专,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC344860380J40863813812.htm?refcode=4019&srccode=401903&preactionid=a43b0a5a-5a09-4337-b137-4809f93fdfb4,"['分镜导演', '短视频导演', 'AI漫剧', 'AI真人剧']",AIGC视频导演,12500.0,True
AIGC动画编导(后备导演),6000-8000元,6000.0,8000.0,12,西安领向鸟文化传播有限公司,100-299人,民营,文化艺术/娱乐,西安,雁塔·漳浒寨,经验不限,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1257666790J40899966902.htm?refcode=4019&srccode=401903&preactionid=a43b0a5a-5a09-4337-b137-4809f93fdfb4,"['电影', '电视剧', '动画行业']",AIGC视频导演,7000.0,True
编导/导演,8000-15000元,8000.0,15000.0,12,周口城市职业学院,100-299人,学校/下级学院,学校/学历教育,周口,川汇区·搬口街道,3-5年,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1487062480J40735129006.htm?refcode=4019&srccode=401903&preactionid=a43b0a5a-5a09-4337-b137-4809f93fdfb4,"['动画', '动漫类', '导演', '编导']",AIGC视频导演,11500.0,True
导演（摄像师）,4000-8000元,4000.0,8000.0,12,新疆八喜视觉信息科技有限公司,100-299人,民营,婚庆/摄影,乌鲁木齐,沙依巴克区·友好南路街道,1-3年,大专,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC821204470J40980521404.htm?refcode=4019&srccode=401903&preactionid=a43b0a5a-5a09-4337-b137-4809f93fdfb4,"['执行导演', '短视频导演', '电影导演', '婚庆', '婚纱摄影', '服装类', '情感类', '音乐类', '时尚类']",AIGC视频导演,6000.0,True
导演/编导（个人IP打造）,1.2-1.8万,12000.0,18000.0,12,麻辣空间,1000-9999人,民营,餐饮服务,成都,武侯·石羊,1-3年,大专,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC147799050J40821582207.htm?refcode=4019&srccode=401903&preactionid=a43b0a5a-5a09-4337-b137-4809f93fdfb4,"['个人IP', '短视频导演', '美食类']",AIGC视频导演,15000.0,True
视频拍剪师（用镜头讲故事的“导演”）,5000-10000元,5000.0,10000.0,12,辽宁佳恒楼市传媒有限公司,100-299人,民营,广告/营销,沈阳,大东·东站,经验不限,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC548305420J40827189001.htm?refcode=4019&srccode=401903&preactionid=a43b0a5a-5a09-4337-b137-4809f93fdfb4,"['拍摄/剪辑', '摄像', '短视频']",AIGC视频导演,7500.0,True
导演助理,8000-10000元,8000.0,10000.0,12,青岛光夜景程传媒有限公司,300-499人,合资,广播/影视,西安,雁塔·丈八沟,经验不限,学历不限,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1514675870J40875628403.htm?refcode=4019&srccode=401903&preactionid=a43b0a5a-5a09-4337-b137-4809f93fdfb4,"['短视频', '直播', '电影', '电视剧', '广告片', '电视栏目', '电台', '广播剧', '动画行业', '游戏']",AIGC视频导演,9000.0,True
漫剧导演,6000-12000元,6000.0,12000.0,12,郑州大锤电子设备租赁有限公司,100-299人,民营,电子商务,郑州,管城·圃田,经验不限,大专,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC843746680J40897993602.htm?refcode=4019&srccode=401903&preactionid=a43b0a5a-5a09-4337-b137-4809f93fdfb4,"['漫剧', '有分镜经验', '具备领导能力', '完整的执行力', '视觉感/审美好']",AIGC视频导演,9000.0,True
导演助理,8000-10000元,8000.0,10000.0,12,青岛青芒互娱传媒有限公司,300-499人,股份制企业,广播/影视,合肥,巢湖·卧牛山,经验不限,学历不限,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1515310010J40841805414.htm?refcode=4019&srccode=401903&preactionid=a43b0a5a-5a09-4337-b137-4809f93fdfb4,"['短视频', '直播', '电影', '电视剧', '电视栏目', '电台', '广告片', '游戏', '戏剧', '动画行业']",AIGC视频导演,9000.0,True
AI漫剧总导演（编导负责人）,1-2万,10000.0,20000.0,12,福建云赢文化传媒有限公司,100-299人,股份制企业,互联网,福州,闽侯·上街,3-5年,大专,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1312375600J40828387307.htm?refcode=4019&srccode=401903&preactionid=a43b0a5a-5a09-4337-b137-4809f93fdfb4,"['执行导演', '分镜导演', '电影导演', '电视剧导演', '短视频导演', '电台导演']",AIGC视频导演,15000.0,True
AI漫剧导演,5000-8000元,5000.0,8000.0,12,重庆松亿文化传媒有限公司,20-99人,民营,文化艺术/娱乐,重庆,沙坪坝·虎溪,1-3年,大专,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1502452760J40980304204.htm?refcode=4019&srccode=401903&preactionid=a43b0a5a-5a09-4337-b137-4809f93fdfb4,['动态漫导演'],AIGC视频导演,6500.0,True
AIGC内容导演,1-2万,10000.0,20000.0,12,广东广视融媒体中心(个人独资),20-99人,民营,广播/影视,广州,越秀·建设街道,1-3年,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1475788480J40878283812.htm?refcode=4019&srccode=401903&preactionid=a43b0a5a-5a09-4337-b137-4809f93fdfb4,"['执行导演', '后期导演', '分镜导演', '选角导演', '短视频导演', '广告片导演']",AIGC视频导演,15000.0,True
AI动漫导演,7000-14000元,7000.0,14000.0,12,郑州匣仔电子商务有限公司,20-99人,其它,电子商务,郑州,中原·中原西路,1-3年,学历不限,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1347544270J40917057408.htm?refcode=4019&srccode=401903&preactionid=a43b0a5a-5a09-4337-b137-4809f93fdfb4,"['短视频导演', '动画导演', '广告片导演', '电视剧导演', '动漫，短剧，动画电影']",AIGC视频导演,10500.0,True
导演助理,8000-10000元,8000.0,10000.0,12,青岛光夜景程传媒有限公司,300-499人,合资,广播/影视,大连,金州·马桥子,经验不限,学历不限,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1514675870J40875628603.htm?refcode=4019&srccode=401903&preactionid=a43b0a5a-5a09-4337-b137-4809f93fdfb4,"['短视频', '直播', '电影', '电视剧', '广告片', '电视栏目', '电台', '广播剧', '动画行业', '游戏']",AIGC视频导演,9000.0,True
导演,1-2万,10000.0,20000.0,12,深圳市中导文化传播有限公司,20-99人,民营,广播/影视,深圳,龙岗·横岗,5-10年,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC665288280J40296876908.htm?refcode=4019&srccode=401903&preactionid=a43b0a5a-5a09-4337-b137-4809f93fdfb4,"['执行导演', '商务导演', '后期导演', '短视频导演', '电影导演', '健康类', '广告片导演', '广告类']",AIGC视频导演,15000.0,True
活动执行导演,7000-10000元,7000.0,10000.0,12,北京浩瀚博宇文化发展有限公司,20-99人,民营,文化艺术/娱乐,北京,海淀·万寿路,经验不限,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC828143100J40806205615.htm?refcode=4019&srccode=401903&preactionid=a43b0a5a-5a09-4337-b137-4809f93fdfb4,"['文艺演出', '会议', '颁奖典礼', '晚会']",AIGC视频导演,8500.0,True
Ai漫剧制作导演,6000-8000元,6000.0,8000.0,12,西安汉鲸影视文化传媒有限公司,广播/影视,20人以下,,西安,莲湖·环城西路,3-5年,大专,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC844711510J40828952707.htm?refcode=4019&srccode=401903&preactionid=a43b0a5a-5a09-4337-b137-4809f93fdfb4,"['短视频导演', '电影导演', '动画导演', '戏剧导演', '漫剧视频导演']",AIGC视频导演,7000.0,True
AI漫剧导演/创作者,1.2-2万,12000.0,20000.0,12,河南西亚斯教育发展有限公司,500-999人,股份制企业,培训/辅导服务,郑州,金水·兴达路,1-3年,大专,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC301611180J40827999611.htm?refcode=4019&srccode=401903&preactionid=a43b0a5a-5a09-4337-b137-4809f93fdfb4,['AI漫剧导演'],AIGC视频导演,16000.0,True
AI视频导演,6000-12000元,6000.0,12000.0,12,北京峰光国际影视传媒有限公司,20人以下,民营,广播/影视,北京,朝阳,1-3年,大专,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1520329110J40833591909.htm?refcode=4019&srccode=401903&preactionid=1e1dc2cc-41be-4ef2-8b92-362899c6fd37,"['要求有实际的AI制作经验', '动漫类', '广告类', '短视频', '动画']",AIGC视频导演,9000.0,True
影视编导、导演,6000-10000元,6000.0,10000.0,12,深圳华瀚众诚影视传媒有限公司,100-299人,民营,广播/影视,深圳,罗湖·东湖,3-5年,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1363711590J40911435715.htm?refcode=4019&srccode=401903&preactionid=1e1dc2cc-41be-4ef2-8b92-362899c6fd37,"['电视剧', '综艺', '短视频']",AIGC视频导演,8000.0,True
