专业,年份,月薪,当前岗位数,当前中位薪资
世界史,2025,12200,0,0
世界史,2024,11619,0,0
世界史,2023,11065,0,0
世界史,2022,10538,0,0
世界史,2021,10036,0,0
世界史,2020,9559,0,0
世界史,2019,9103,0,0
世界史,2018,8670,0,0
世界史,2017,8257,0,0
世界史,2016,7864,0,0
世界史,2015,7489,0,0
世界语,2025,15000,0,0
世界语,2024,14285,0,0
世界语,2023,13605,0,0
世界语,2022,12957,0,0
世界语,2021,12340,0,0
世界语,2020,11752,0,0
世界语,2019,11193,0,0
世界语,2018,10660,0,0
世界语,2017,10152,0,0
世界语,2016,9669,0,0
世界语,2015,9208,0,0
中医养生保健,2025,7600,0,0
中医养生保健,2024,7238,0,0
中医养生保健,2023,6893,0,0
中医养生保健,2022,6565,0,0
中医养生保健,2021,6252,0,0
中医养生保健,2020,5954,0,0
中医养生保健,2019,5671,0,0
中医养生保健,2018,5401,0,0
中医养生保健,2017,5143,0,0
中医养生保健,2016,4899,0,0
中医养生保健,2015,4665,0,0
中医学,2025,6000,40,6000
中医学,2024,5714,40,6000
中医学,2023,5442,40,6000
中医学,2022,5183,40,6000
中医学,2021,4936,40,6000
中医学,2020,4701,40,6000
中医学,2019,4477,40,6000
中医学,2018,4264,40,6000
中医学,2017,4061,40,6000
中医学,2016,3867,40,6000
中医学,2015,3683,40,6000
中医康复技术,2025,8300,0,0
中医康复技术,2024,7904,0,0
中医康复技术,2023,7528,0,0
中医康复技术,2022,7169,0,0
中医康复技术,2021,6828,0,0
中医康复技术,2020,6503,0,0
中医康复技术,2019,6193,0,0
中医康复技术,2018,5898,0,0
中医康复技术,2017,5617,0,0
中医康复技术,2016,5350,0,0
中医康复技术,2015,5095,0,0
中国共产党历史,2025,12900,0,0
中国共产党历史,2024,12285,0,0
中国共产党历史,2023,11700,0,0
中国共产党历史,2022,11143,0,0
中国共产党历史,2021,10612,0,0
中国共产党历史,2020,10107,0,0
中国共产党历史,2019,9626,0,0
中国共产党历史,2018,9167,0,0
中国共产党历史,2017,8731,0,0
中国共产党历史,2016,8315,0,0
中国共产党历史,2015,7919,0,0
中国少数民族语言文学,2025,10100,0,0
中国少数民族语言文学,2024,9619,0,0
中国少数民族语言文学,2023,9160,0,0
中国少数民族语言文学,2022,8724,0,0
中国少数民族语言文学,2021,8309,0,0
中国少数民族语言文学,2020,7913,0,0
中国少数民族语言文学,2019,7536,0,0
中国少数民族语言文学,2018,7177,0,0
中国少数民族语言文学,2017,6836,0,0
中国少数民族语言文学,2016,6510,0,0
中国少数民族语言文学,2015,6200,0,0
中国画,2025,9000,0,0
中国画,2024,8571,0,0
中国画,2023,8163,0,0
中国画,2022,7774,0,0
中国画,2021,7404,0,0
中国画,2020,7051,0,0
中国画,2019,6715,0,0
中国画,2018,6396,0,0
中国画,2017,6091,0,0
中国画,2016,5801,0,0
中国画,2015,5525,0,0
中草药栽培与鉴定,2025,8900,0,0
中草药栽培与鉴定,2024,8476,0,0
中草药栽培与鉴定,2023,8072,0,0
中草药栽培与鉴定,2022,7688,0,0
中草药栽培与鉴定,2021,7322,0,0
中草药栽培与鉴定,2020,6973,0,0
中草药栽培与鉴定,2019,6641,0,0
中草药栽培与鉴定,2018,6325,0,0
中草药栽培与鉴定,2017,6023,0,0
中草药栽培与鉴定,2016,5737,0,0
中草药栽培与鉴定,2015,5463,0,0
中药学,2025,7500,120,7500
中药学,2024,7009,120,7500
中药学,2023,6550,120,7500
中药学,2022,6122,120,7500
中药学,2021,5721,120,7500
中药学,2020,5347,120,7500
中药学,2019,4997,120,7500
中药学,2018,4670,120,7500
中药学,2017,4365,120,7500
中药学,2016,4079,120,7500
中药学,2015,3812,120,7500
中药材生产与加工,2025,6800,0,0
中药材生产与加工,2024,6476,0,0
中药材生产与加工,2023,6167,0,0
中药材生产与加工,2022,5874,0,0
中药材生产与加工,2021,5594,0,0
中药材生产与加工,2020,5327,0,0
中药材生产与加工,2019,5074,0,0
中药材生产与加工,2018,4832,0,0
中药材生产与加工,2017,4602,0,0
中药材生产与加工,2016,4383,0,0
中药材生产与加工,2015,4174,0,0
中药资源与开发,2025,9100,0,0
中药资源与开发,2024,8666,0,0
中药资源与开发,2023,8253,0,0
中药资源与开发,2022,7860,0,0
中药资源与开发,2021,7486,0,0
中药资源与开发,2020,7130,0,0
中药资源与开发,2019,6790,0,0
中药资源与开发,2018,6467,0,0
中药资源与开发,2017,6159,0,0
