name,level2_name,level3_name,limit_year,fivesalaryavg,salaryavg,view_total,view_month,boy_rate,girl_rate,job_count,market_salary_median,salary_score,demand_score,popularity_score,value_ratio_score,composite_index
阿拉伯语,文学,外国语言文学类,四年,19000,76977,252680,1,35,65,0,,99.08571428571429,56.659267480577135,97.22530521642618,91.78690344062154,85.0
飞行技术,工学,交通运输类,四年,22300,93691,271611,7,100,0,0,,99.42857142857143,56.659267480577135,93.00776914539401,93.34073251942286,84.7
电磁场与无线技术,工学,电子信息类,四年,16800,129799,219303,4,80,20,0,,97.48571428571428,56.659267480577135,96.78135405105438,92.11986681465038,84.3
普什图语,文学,外国语言文学类,四年,16700,0,224447,2,17,83,0,,97.14285714285714,56.659267480577135,97.669256381798,91.56492785793563,84.2
工程物理,工学,核工程类,四年,16900,0,208973,3,84,16,0,,97.71428571428571,56.659267480577135,93.89567147613762,93.11875693673696,84.1
波斯语,文学,外国语言文学类,四年,26900,0,155229,1,38,62,0,,99.77142857142857,56.659267480577135,81.46503884572697,98.00221975582686,83.8
国际事务与国际关系,法学,政治学类,四年,17000,91911,278697,3,29,71,0,,97.82857142857144,56.659267480577135,91.23196448390678,89.45615982241954,83.2
物联网工程,工学,计算机类,四年,17200,136554,1656518,46,66,34,60,11250.0,98.05714285714285,99.38956714761376,11.320754716981128,49.056603773584904,83.1
荷兰语,文学,外国语言文学类,四年,29300,119947,131148,2,17,83,0,,99.88571428571429,56.659267480577135,73.0299667036626,99.11209766925639,82.8
梵语巴利语,文学,外国语言文学类,四年,16700,111615,167584,69,0,0,0,,97.14285714285714,56.659267480577135,84.79467258601554,94.78357380688124,82.8
冰岛语,文学,外国语言文学类,四年,16100,0,177626,3,20,80,0,,95.31428571428572,56.659267480577135,88.56825749167592,94.33962264150944,82.6
光源与照明,工学,电气类,四年,18200,117204,331732,11,71,29,0,,98.97142857142858,56.659267480577135,84.79467258601554,87.90233074361821,82.5
航海技术,工学,交通运输类,四年,15200,92211,225499,10,98,2,0,,92.80000000000001,56.659267480577135,97.89123196448391,90.78801331853496,82.4
声学,理学,物理学类,四年,16000,177912,271935,3,77,23,0,,94.91428571428571,56.659267480577135,92.78579356270811,88.90122086570477,82.2
经济犯罪侦查,法学,公安学类,四年,15100,138495,219085,2,78,22,0,,92.4,56.659267480577135,96.33740288568258,91.00998890122086,82.1
传播学,文学,新闻传播学类,四年,13500,128493,836998,10,25,75,60,7500.0,84.97142857142858,99.38956714761376,29.300776914539412,57.380688124306324,81.8
葡萄牙语,文学,外国语言文学类,四年,23400,0,115765,6,20,80,0,,99.54285714285714,56.659267480577135,67.7025527192009,98.66814650388457,81.8
意大利语,文学,外国语言文学类,四年,16000,0,159469,6,18,82,0,,94.91428571428571,56.659267480577135,82.5749167591565,94.89456159822419,81.6
乌兹别克语,文学,外国语言文学类,四年,16500,104367,332697,2,0,0,0,,96.39999999999999,56.659267480577135,84.35072142064372,86.23751387347392,81.1
