job_name,salary_raw,salary_min,salary_max,company_name,company_type,industry,city,experience,education,job_url,source,soe_category,tags,salary_avg,has_salary
购物中心储备项目总,4-6万·13薪,40000,60000,北京王府井购物中心管理有限责任公司,国企,景区/商业/市场等综合管理,北京,5-10年,本科,http://www.zhaopin.com/jobdetail/CC298286080J40474028214.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,"['商业地产', '购物中心', '项目总', '总经理']",50000.0,True
法律合规部法律助理,8000-12000元,8000,12000,中智(北京)经济技术合作有限公司,国企,人力资源服务,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CCL1293627340J40827952711.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,"['合同事务', '劳动纠纷', '国营企业', '大型企业']",10000.0,True
云平台运维岗,面议,0,0,中国银行保险信息技术管理有限公司,国企,保险,北京,经验不限,本科,http://www.zhaopin.com/jobdetail/CC596117920J40843937705.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国有银行,['云运维'],,False
数据安全工程师,8000-12000元,8000,12000,工信通(北京)信息技术有限公司,国企,IT服务,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CC574573320J40796230613.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,"['数据安全', '密码']",10000.0,True
BIM中心-项目BIM机电工程师,1-1.3万,10000,13000,中铁建工集团有限公司华北分公司,国企,工程施工,北京,3-5年,本科,http://www.zhaopin.com/jobdetail/CC223439020J40919515015.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,央企,"['一级BIM建模师', '一级建造师']",11500.0,True
业务经理,8000-15000元,8000,15000,中国康辉旅游集团有限公司,国企,旅游服务,北京,5-10年,本科,http://www.zhaopin.com/jobdetail/CC000593280J40642804801.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,央企,"['接团社', '地接社']",11500.0,True
质量管理（职教分社）,1.2-2万,12000,20000,清华大学出版社有限公司,国企,新闻/出版,北京,3-5年,本科,http://www.zhaopin.com/jobdetail/CC000540640J40877905512.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,"['图书', '杂志', '报纸', '文字编辑', '出版专业技术人员职业资格证书（中级）', '责任编辑证', '副编审', '编审', '文稿编辑']",16000.0,True
室内设计岗（精装）,1.1-1.5万,11000,15000,保利发展控股,国企,房地产开发,北京,3-5年,本科,http://www.zhaopin.com/jobdetail/CC193755010J40772515611.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,"['家装设计', '软装设计', '居住建筑', '办公建筑']",13000.0,True
理论编辑（文化方向）,1-1.2万,10000,12000,求是网传媒(北京)有限公司,国企,广播/影视,北京,1-3年,硕士,http://www.zhaopin.com/jobdetail/CC492948630J40984058904.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,['文字编辑'],11000.0,True
质量管理（理工分社）,1.2-1.8万,12000,18000,清华大学出版社有限公司,国企,新闻/出版,北京,5-10年,硕士,http://www.zhaopin.com/jobdetail/CC000540640J40610959212.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,"['全职', '图书质检经验', '质量管理', '质量检查', '编校质量']",15000.0,True
