job_name,salary_raw,salary_min,salary_max,company_name,company_type,industry,city,experience,education,job_url,source,soe_category,tags
购物中心储备项目总,4-6万·13薪,40000,60000,北京王府井购物中心管理有限责任公司,国企,景区/商业/市场等综合管理,北京,5-10年,本科,http://www.zhaopin.com/jobdetail/CC298286080J40474028214.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,"['商业地产', '购物中心', '项目总', '总经理']"
法律合规部法律助理,8000-12000元,8000,12000,中智(北京)经济技术合作有限公司,国企,人力资源服务,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CCL1293627340J40827952711.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,"['合同事务', '劳动纠纷', '国营企业', '大型企业']"
云平台运维岗,面议,0,0,中国银行保险信息技术管理有限公司,国企,保险,北京,经验不限,本科,http://www.zhaopin.com/jobdetail/CC596117920J40843937705.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国有银行,['云运维']
数据安全工程师,8000-12000元,8000,12000,工信通(北京)信息技术有限公司,国企,IT服务,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CC574573320J40796230613.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,"['数据安全', '密码']"
BIM中心-项目BIM机电工程师,1-1.3万,10000,13000,中铁建工集团有限公司华北分公司,国企,工程施工,北京,3-5年,本科,http://www.zhaopin.com/jobdetail/CC223439020J40919515015.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,央企,"['一级BIM建模师', '一级建造师']"
业务经理,8000-15000元,8000,15000,中国康辉旅游集团有限公司,国企,旅游服务,北京,5-10年,本科,http://www.zhaopin.com/jobdetail/CC000593280J40642804801.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,央企,"['接团社', '地接社']"
质量管理（职教分社）,1.2-2万,12000,20000,清华大学出版社有限公司,国企,新闻/出版,北京,3-5年,本科,http://www.zhaopin.com/jobdetail/CC000540640J40877905512.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,"['图书', '杂志', '报纸', '文字编辑', '出版专业技术人员职业资格证书（中级）', '责任编辑证', '副编审', '编审', '文稿编辑']"
室内设计岗（精装）,1.1-1.5万,11000,15000,保利发展控股,国企,房地产开发,北京,3-5年,本科,http://www.zhaopin.com/jobdetail/CC193755010J40772515611.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,"['家装设计', '软装设计', '居住建筑', '办公建筑']"
理论编辑（文化方向）,1-1.2万,10000,12000,求是网传媒(北京)有限公司,国企,广播/影视,北京,1-3年,硕士,http://www.zhaopin.com/jobdetail/CC492948630J40984058904.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,['文字编辑']
质量管理（理工分社）,1.2-1.8万,12000,18000,清华大学出版社有限公司,国企,新闻/出版,北京,5-10年,硕士,http://www.zhaopin.com/jobdetail/CC000540640J40610959212.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,"['全职', '图书质检经验', '质量管理', '质量检查', '编校质量']"
服务顾问（售后）,8000-15000元,8000,15000,北京长煦汽车销售服务有限公司,国企,汽车4S店/经销商,北京,1-3年,大专,http://www.zhaopin.com/jobdetail/CCL1447794810J40720689102.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,"['汽车保养', '4S店']"
销售主管（农副产品销售）,8000-12000元,8000,12000,北京京农控股集团有限公司,国企,零售/批发,北京,3-5年,本科,http://www.zhaopin.com/jobdetail/CC691278720J40837743614.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,"['企业客户', 'KA大客户', '政府客户', '渠道销售', '门店销售', '网络销售']"
子企业经营管理人员,3.5-5万,35000,50000,中国(香港)北京同仁堂国药有限公司北京代表处,国企,医药制造,北京,5-10年,本科,http://www.zhaopin.com/jobdetail/CCL1378690080J40891779802.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,央企,"['人力资源管理', '运营管理']"
性能测试岗,面议,0,0,中国银行保险信息技术管理有限公司,国企,保险,北京,经验不限,本科,http://www.zhaopin.com/jobdetail/CC596117920J40843933405.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国有银行,[]
政企行业信息化设计咨询高级顾问,1.5-2.5万,15000,25000,北京赛迪时代信息产业股份有限公司,国企,IT服务,北京,5-10年,本科,http://www.zhaopin.com/jobdetail/CC000441110J40618183109.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,['数字化转型']
市民热线客服专员,5000-6000元,5000,6000,北京市神舟力行人力资源管理有限公司,国企,人力资源服务,北京,1年以下,大专,http://www.zhaopin.com/jobdetail/CC133824830J40781631416.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,地方国企,"['电话客服', '投诉客服', '网络客服', '全白班', '倒班制']"
人力资源部实习生,100-150元/天,100,150,清华大学建筑设计研究院有限公司,国企,建筑设备安装,北京,无经验,本科,http://www.zhaopin.com/jobdetail/CC157349320J40830444105.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,"['招聘', '员工关系', '绩效管理']"
品牌专员,6000-8000元·13薪,6000,8000,青岛啤酒,国企,快速消费品,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CC000408980J40917824808.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,"['品牌营销', '品牌推广', '终端生动化']"
销售会计,4000-5000元,4000,5000,北京牵手果蔬饮品股份有限公司,国企,农副产品加工制造,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CC469596310J40853299212.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,['销售会计']
26届应届生招聘-工业工程、物流、供应链管理,8000-10000元,8000,10000,延锋海纳川汽车饰件系统有限公司,国企,汽车研发/制造,北京,无经验,本科,http://www.zhaopin.com/jobdetail/CC120097290J40824245801.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,"['仓储规划', '供应链物流']"
技术支持工程师,1.1-2万·14薪,11000,20000,北京烁科中科信电子装备有限公司,国企,电子/半导体/集成电路,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CC881853230J40806363513.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,[]
咖啡师,4000-6000元,4000,6000,北京牵手果蔬饮品股份有限公司,国企,农副产品加工制造,北京,3-5年,大专,http://www.zhaopin.com/jobdetail/CC469596310J40828656812.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,['咖啡店']
机械英语专利代理师（助理）-国际(J10036),1.6-3万,16000,30000,中国贸促会专利商标事务所有限公司,国企,专利/商标/知识产权,北京,经验不限,硕士,http://www.zhaopin.com/jobdetail/CCL1274117300J40816403905.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,央企,"['机械类', '专利/商标/知识产权']"
数据开发岗,面议,0,0,中国银行保险信息技术管理有限公司,国企,保险,北京,经验不限,本科,http://www.zhaopin.com/jobdetail/CC596117920J40843930005.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国有银行,"['数据仓库', 'ETL', 'Sql']"
中级Java研发工程师,1.9-2万,19000,20000,北京奈亚信息技术有限公司,国企,计算机软件,北京,5-10年,本科,http://www.zhaopin.com/jobdetail/CC130401720J40756228601.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,"['Java', 'SPRINGBOOT', 'Spring', 'SQL', '后端开发']"
内保员,5000-7000元,5000,7000,国投物业有限责任公司北京一分公司,国企,物业管理,北京,经验不限,大专,http://www.zhaopin.com/jobdetail/CC121016320J40601972408.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,"['秩序维护', '安全巡视', '大堂管理', '包吃包住', '五险一金', '周末双休', '住房公积金', '加班补贴', 'C1驾驶证', '退役军人优待证', '全白班', '写字楼']"
物业总值,5000-6000元,5000,6000,北京中佳如意物业管理服务有限责任公司,国企,物业管理,北京,3-5年,中专/中技,http://www.zhaopin.com/jobdetail/CCL1307940080J40964611004.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,"['写字楼', '中级中控本', '值班经理']"
电学专利代理师（助理）-国际(J10038),1.6-3万,16000,30000,中国贸促会专利商标事务所有限公司,国企,专利/商标/知识产权,北京,经验不限,硕士,http://www.zhaopin.com/jobdetail/CCL1274117300J40816366105.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,央企,"['涉外专利代理', '电学类', '通信类']"
理论编辑（经济方向）,1-1.3万,10000,13000,求是网传媒(北京)有限公司,国企,广播/影视,北京,1-3年,硕士,http://www.zhaopin.com/jobdetail/CC492948630J40981210604.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,"['杂志', '文字编辑', '策划编辑']"
渠道销售代表,6000-10000元,6000,10000,泸州大成浓香酒类销售有限公司,国企,快速消费品,北京,1-3年,大专,http://www.zhaopin.com/jobdetail/CC807730920J40916481902.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,['渠道销售']
JAVA开发工程师,1-1.5万,10000,15000,北京长城航空测控技术研究所有限公司,国企,船舶/航空/航天/火车制造,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CC390513180J40818723501.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,['Java']
项目经理-TOD建筑与产业发展研究院(J10563),1-1.5万,10000,15000,北京市建筑设计研究院股份有限公司,国企,建筑设计,北京,5-10年,本科,http://www.zhaopin.com/jobdetail/CC000429130J40485478413.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,地方国企,['建筑项目']
配送岗,6000-9000元,6000,9000,国药集团联合医疗器械有限公司,国企,医疗设备/器械,北京,经验不限,本科,http://www.zhaopin.com/jobdetail/CC120804400J40446005304.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,"['五险一金', '冷链运输']"
数据库运维岗,面议,0,0,中国银行保险信息技术管理有限公司,国企,保险,北京,经验不限,本科,http://www.zhaopin.com/jobdetail/CC596117920J40843940505.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国有银行,"['MongoDB', '人大金仓', '达梦']"
科研负责人与研究专员,1-2万,10000,20000,清华大学建筑设计研究院有限公司,国企,建筑设备安装,北京,经验不限,博士,http://www.zhaopin.com/jobdetail/CC157349320J40725297105.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,"['研究员', '副研究员']"
